,BoliInfectioase,Tuberculoza,Tumori,BoliEndocrine,Diabet,TulbMentale,SistNervORL,ApCirculator,BoalaIschemica,BoliCerebroVasculare,BRespiratorii,BDigestive,BGenitoUrinar,SarcinaNastere,MalfCongenitale,Accidente,AlteCauze
 Prahova,-7.542372318738094,-1.29014374802439,5.352456942857202,11.730902559476188,11.493195861857144,-1.947999433230769,18.060030951904757,18.40520282857142,51.86672678095243,-50.0069998252381,28.136278609761902,17.796159043333333,-0.9435084543809502,-2.7755575615628914e-17,-0.8469204422619049,-6.173007229285716,-3.5036287819285725
 Salaj,-13.043786532738094,-0.1836659520243904,24.47637394285715,-11.101992532523813,-10.415688756142858,1.0915976907692309,-11.94003088009524,95.75915272857151,122.23909858095243,30.24726417476191,-20.397718570238098,2.198813863333328,-13.356794285380952,-2.7755575615628914e-17,0.21087288173809515,10.861723260714285,3.706584388071427
 Satu Mare,-3.0296643787380937,2.3046185709756104,3.605197642857206,-12.574580753523813,-14.727872658142857,0.48363123076923076,-5.88678146809524,-95.77294897142849,70.94505828095242,-29.19688752523811,20.324052309761896,12.042702893333328,-2.5281095243809517,-2.7755575615628914e-17,-0.17957252426190484,-0.432984179285711,19.76303104807143
 Sibiu,4.818417931261905,-1.43576763202439,-29.590021757142807,-10.809831297523814,-10.397135853142856,-1.9783752362307692,15.442806501904762,-191.7629416714285,-9.073972119047596,-110.1088744252381,32.43186500976191,-22.831632006666673,-9.106588684380952,-2.7755575615628914e-17,-0.1902631652619049,-5.543126299285717,0.6864763080714269
 Suceava,-4.5892696187380935,-0.2754301500243903,-31.183111757142825,-12.302454247523812,-12.104042948142858,-0.9448783552307691,-10.52696927809524,13.188034528571507,-5.376966919047561,-8.739640225238105,-29.4501580202381,-21.58052485666667,-3.9127762943809508,-0.08739484135294118,0.398649929738095,2.0065283207142883,1.483970538071425
 Teleorman,0.9152023312619058,2.91730555397561,31.702243642857184,-8.647730080523813,-7.487249948142857,1.090443419769231,-13.70993388709524,462.2531114285715,7.7376814809524035,202.70317387476192,-4.866753360238093,14.57961448333333,1.4202820656190482,-2.7755575615628914e-17,-0.47925791626190484,4.763497250714288,-7.333199831928573
 Timis,-4.238127548738095,1.4527181069756097,-20.03071185714282,-13.532166685523814,-12.371686553142858,-1.093743890230769,38.15478627190476,-250.42381737142853,-116.25193241904756,-122.0541038352381,-7.762996170238097,-32.55295906666667,13.537021805619048,-2.7755575615628914e-17,-0.9771494732619048,-20.836136839285714,10.045928708071425
 Tulcea,11.99923445126191,0.24707346497561034,95.5368845428572,-0.24009928052381468,0.920380851857141,-1.7103865022307692,2.32688174190476,62.08198192857151,-33.77980531904757,6.222771974761912,-8.634902510238106,21.331629943333326,-5.210737344380952,-2.7755575615628914e-17,0.9004189457380953,19.262956880714285,-0.34672209192857295
 Valcea,-0.20548484873809514,-2.34880351502439,-69.72595525714283,-10.493689703523813,-9.333209571142858,-1.941345022230769,-6.92108455809524,-192.47544237142858,-145.67197591904755,49.04124717476188,-43.1319317702381,-6.999317436666672,-8.427325344380952,-2.7755575615628914e-17,-0.5406654322619049,-11.353485299285715,-11.699771854928574
 Vaslui,11.905247251261908,-1.97331284102439,21.8080015428572,-6.862261827523813,-5.7017816951428575,-1.959262556230769,-6.72554678809524,9.843391628571453,-0.02731811904754977,53.63364657476191,51.43864150976191,40.29922144333332,-14.458147751380952,-2.7755575615628914e-17,0.46116139873809536,25.213194050714293,6.030068128071427
 Vrancea,-11.392153144738094,-1.16570121202439,-14.884875057142807,13.599028269476186,9.746537331857143,19.07749022076923,11.321619581904763,42.54843372857147,-79.38658521904756,-57.907993325238095,0.7331957397618964,31.83209354333333,-3.5759241943809528,0.06557104464705879,1.1339636817380951,9.510053520714287,4.749311228071427
