,I1,I2a,I2b,R1a,R1b,G,J2,J1,E1b1b,T,Q,N
Malta,-6.585106382978723,1.1542553191489358,-1.0904255319148937,-10.111702127659575,-2.015957446808514,2.25,12.914893617021276,6.632978723404255,-1.0159574468085104,2.973404255319149,-0.07978723404255317,-5.5638297872340425
Moldova,-2.585106382978723,12.154255319148936,0.9095744680851063,16.888297872340424,-18.515957446808514,-3.25,-4.085106382978724,2.632978723404255,2.9840425531914896,-0.5265957446808511,-1.0797872340425532,-4.0638297872340425
Gagauzes,-3.585106382978723,11.154255319148936,0.9095744680851063,5.388297872340425,-22.015957446808514,9.25,-2.585106382978724,0.6329787234042554,0.9840425531914896,1.4734042553191489,-1.0797872340425532,-4.5638297872340425
Montenegro,-1.585106382978723,20.654255319148938,-0.5904255319148937,-6.111702127659575,-25.015957446808514,-1.75,0.914893617021276,-0.8670212765957446,16.98404255319149,-1.5265957446808511,0.9202127659574468,-4.0638297872340425
Netherlands,8.914893617021278,-7.845744680851064,4.409574468085106,-9.611702127659575,14.484042553191486,0.25,-4.585106382978724,-0.8670212765957446,-6.51595744680851,-0.5265957446808511,-1.0797872340425532,-5.5638297872340425
Norway,23.914893617021278,-8.845744680851064,2.4095744680851063,11.888297872340425,-2.515957446808514,-3.25,-7.585106382978724,-1.3670212765957446,-9.01595744680851,-1.5265957446808511,-0.07978723404255317,-3.0638297872340425
Poland,0.9148936170212769,-3.3457446808510642,-0.09042553191489366,43.888297872340424,-22.015957446808514,-2.75,-5.585106382978724,-1.3670212765957446,-6.51595744680851,-1.0265957446808511,-0.5797872340425532,-1.5638297872340425
Portugal,-5.585106382978723,-7.345744680851064,0.9095744680851063,-12.111702127659575,21.484042553191486,2.25,1.414893617021276,1.6329787234042554,3.9840425531914896,0.9734042553191489,-0.5797872340425532,-5.5638297872340425
Romania,-3.085106382978723,17.154255319148938,0.40957446808510634,3.8882978723404253,-22.515957446808514,0.75,5.414893617021276,0.13297872340425543,4.98404255319149,-1.0265957446808511,-0.5797872340425532,-5.0638297872340425
Russia,-2.585106382978723,1.6542553191489358,-2.0904255319148937,32.388297872340424,-28.515957446808514,-3.25,-5.085106382978724,-1.3670212765957446,-7.51595744680851,-0.02659574468085113,0.42021276595744683,17.43617021276596
Bashkirs,-7.585106382978723,-8.345744680851064,-2.0904255319148937,12.388297872340425,12.984042553191486,-3.75,-5.085106382978724,-1.3670212765957446,-9.51595744680851,-1.5265957446808511,-1.0797872340425532,11.436170212765958
Chuvashs,-0.5851063829787231,-4.345744680851064,-2.0904255319148937,16.388297872340424,-31.515957446808514,-4.25,4.914893617021276,0.13297872340425543,2.9840425531914896,-1.5265957446808511,-1.0797872340425532,22.43617021276596
Komis,-5.585106382978723,-6.845744680851064,-2.0904255319148937,15.388297872340425,-23.515957446808514,-4.25,-8.085106382978724,-1.3670212765957446,-5.01595744680851,-1.5265957446808511,-1.0797872340425532,45.43617021276596
Maris,-4.585106382978723,-7.845744680851064,-2.0904255319148937,18.388297872340424,-32.515957446808514,-3.25,-8.085106382978724,-1.3670212765957446,-10.01595744680851,-0.5265957446808511,-1.0797872340425532,55.43617021276596
