,I1,I2a,I2b,R1a,R1b,G,J2,J1,E1b1b,T,Q,N
Provence,-0.6460903565594671,-0.37574154430625484,-0.6098894962926538,-0.6445490163326153,0.97500353497555,0.9602064974273414,0.05548826333938596,-0.20662294721646504,0.058592426970691384,-0.3391027464158901,0.18061082511306542,-0.3968931000948122
Rhone-Alpes,-0.06768565640146795,-0.5695928350021272,0.22908044494894797,-0.6445490163326153,1.3279040217005622,0.22158611479092494,-0.7469573911071198,-0.7695956149946598,-0.6071720728940874,-0.9830554365793985,0.7694229948458337,-0.3968931000948122
Germany,0.9734428038829306,-0.5695928350021272,1.3477070332710837,0.178753865554876,0.41451452664758937,0.22158611479092494,-0.4794755062916179,-0.7695956149946598,-0.5466480274518347,-0.3391027464158901,-0.11379525975331867,-0.32555858497260887
North Germany,1.2626451539619301,-0.6471333512804762,3.0256469157542867,0.6278281647662349,0.061614039922577093,-0.22158611479092494,-0.5463459774954934,-0.4881092811055624,-0.9097923001053504,-0.3391027464158901,0.18061082511306542,-0.2898913274115072
East Germany,1.0312832738987305,-0.5695928350021272,1.6273636803516174,0.7775195978366879,0.061614039922577093,-0.07386203826364166,-0.8138278623109952,-0.7695956149946598,-0.3045518456828243,-0.3391027464158901,-0.01565989813119064,-0.32555858497260887
West Germany,0.5685595137723312,-0.4920523187237783,2.466333621593219,-0.3451661501917094,0.5183087874490635,0.22158611479092494,-0.4126050350877424,-0.7695956149946598,-0.24402780024057166,-0.017126401334135906,-0.11379525975331867,-0.2542240698504055
South Germany,0.3371976337091315,-0.3369712861670804,0.5087370920294818,-0.30774329192409616,0.5805853439299481,1.1079305739546248,-0.3457345638838669,-0.20662294721646504,-0.24402780024057166,-0.017126401334135906,-0.11379525975331867,-0.36122584253371054
Greece,-0.4725689465120674,0.05073129522466445,-0.33023284921211987,-0.15805185885364317,-0.7894988986495113,0.6647583443727748,1.9947319282517748,0.9193223883399244,1.3295973812579962,1.9147316691563894,-0.21193062137544671,-0.3968931000948122
North Greece,-0.2412070664488677,0.5547446510339327,-0.6098894962926538,0.32844529862532895,-0.8932931594509855,0.07386203826364166,0.9248043889897672,0.637836054450827,1.2690733358157436,1.5927553240746353,-0.21193062137544671,-0.3968931000948122
Central Greece,-0.4725689465120674,-0.14311999547120796,0.7883937391100158,-0.1954747171212564,-0.95556971593187,0.5170342678454916,1.4597681586207711,1.2008087222290218,2.3585061537762906,2.2367080142381437,-0.21193062137544671,-0.3968931000948122
